d_arcsec,_RAJ2000,_DEJ2000,Star,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Mass,logL,e_logL,VMAG,Pl_,SimbadName,_RA,_DE,_RAJ2000_2,_DEJ2000_2,recno,catID,vsini,w_vsini,o_vsini,n_vsini,Simbad,_RA_2,_DE_2,starname,err_rv_scaled
0.007654,21.7564444,-0.1575881,HD 8828,5403,25,4.460000038146973,0.029999999329447746,-0.1599999964237213,0.019999999552965164,0.8220000267028809,0.5239999890327454,0.026000000536441803,5.590000152587891,no,HD 8828,21.75644,-0.15759,21.7564428,-0.1575867,1402,HD 8828 A,0.8999999761581421,3.0,1,,Simbad,21.75644,-0.15759,HD8828,0.6067265559545332
0.005379,21.70519,-29.4749672,HD 8859,5502,18,4.409999847412109,0.03999999910593033,-0.09000000357627869,0.009999999776482582,0.8579999804496765,0.6349999904632568,0.03500000014901161,5.360000133514404,no,HD 8859,21.70519,-29.47497,21.7051894,-29.4749686,1393,HD 8859,2.700000047683716,3.0,1,,Simbad,21.70519,-29.47497,HD8859,0.5803507664137368
0.013714,21.8633875,-25.9369069,HD 8912,5211,42,4.429999828338623,0.07000000029802322,-0.07000000029802322,0.029999999329447746,0.8849999904632568,0.3610000014305115,0.03799999877810478,6.050000190734863,no,HD 8912,21.86339,-25.93691,21.8633878,-25.9369031,1408,HD 8912,4.5,3.0,1,,Simbad,21.86339,-25.9369,HD8912,0.4982249207870711
0.00792,22.6040189,-29.2588747,HD 9246,4999,40,4.489999771118164,0.07999999821186066,-0.5299999713897705,0.019999999552965164,0.7289999723434448,0.21199999749660492,0.0430000014603138,6.699999809265137,no,HD 9246,22.60402,-29.25887,22.6040189,-29.2588725,1445,HD 9246,0.8999999761581421,3.0,1,,Simbad,22.60402,-29.25887,HD9246,0.5808990207571667
0.009426,23.8596194,-13.3810281,HD 9782,6023,19,4.420000076293945,0.019999999552965164,0.09000000357627869,0.009999999776482582,1.1150000095367432,1.4600000381469727,0.029999999329447746,4.360000133514404,no,HD 9782,23.85962,-13.38103,23.8596186,-13.3810306,1511,HD 9782,2.700000047683716,3.0,1,,Simbad,23.85962,-13.38103,HD9782,0.7799255295502103
0.00973,24.2859481,-29.3932631,HD 10002,5313,44,4.400000095367432,0.07000000029802322,0.17000000178813934,0.029999999329447746,0.843999981880188,0.5809999704360962,0.03200000151991844,5.510000228881836,no,HD 10002,24.28595,-29.39326,24.2859456,-29.3932647,1533,HD 10002,1.7999999523162842,3.0,1,,Simbad,24.28595,-29.39326,HD10002,0.47563901058229047
0.005653,24.7410344,-27.2522117,HD 10166,5221,31,4.480000019073486,0.07000000029802322,-0.38999998569488525,0.019999999552965164,0.8859999775886536,0.2549999952316284,0.052000001072883606,6.429999828338623,no,HD 10166,24.74103,-27.25221,24.7410336,-27.2522103,1585,HD 10166,1.7999999523162842,3.0,1,,Simbad,24.74103,-27.25221,HD10166,0.5684695837940753
0.005314,24.4732344,-60.5115275,HD 10180,5911,19,4.389999866485596,0.029999999329447746,0.07999999821186066,0.009999999776482582,1.0579999685287476,1.4850000143051147,0.020999999716877937,4.349999904632568,no,HD 10180,24.47323,-60.51153,24.4732364,-60.5115264,1557,HD 10180,2.700000047683716,3.0,1,,Simbad,24.47324,-60.51153,HD10180,0.7743713712979097
0.006341,25.6221489,-53.7408342,HD 10647,6218,20,4.619999885559082,0.03999999910593033,0.0,0.009999999776482582,1.2020000219345093,1.4730000495910645,0.009999999776482582,4.320000171661377,yes,HD 10647,25.62215,-53.74083,25.6221461,-53.7408336,1641,HD 10647,5.400000095367432,3.0,1,,Simbad,25.62215,-53.74083,HD10647,1.1601350099254768
0.00825,26.0170119,-15.93748,HD 10700,5310,17,4.440000057220459,0.029999999329447746,-0.5199999809265137,0.009999999776482582,0.6269999742507935,0.4950000047683716,0.003000000026077032,5.679999828338623,no,HD 10700,26.01701,-15.93748,26.0170142,-15.9374794,1659,HD 10700 A,0.8999999761581421,3.0,1,,Simbad,26.01701,-15.93748,HD10700,0.7151169646956472
0.00825,26.0170119,-15.93748,HD 10700,5310,17,4.440000057220459,0.029999999329447746,-0.5199999809265137,0.009999999776482582,0.6269999742507935,0.4950000047683716,0.003000000026077032,5.679999828338623,no,HD 10700,26.01701,-15.93748,26.0170142,-15.9374794,1658,HD 10700,0.800000011920929,15.0,6,:,Simbad,26.01701,-15.93748,HD10700,0.7151169646956472
0.010417,27.5643689,-6.7040911,HD 11226,6098,14,4.349999904632568,0.019999999552965164,0.03999999910593033,0.009999999776482582,1.1710000038146973,2.196000099182129,0.03400000184774399,3.9000000953674316,no,HD 11226,27.56437,-6.70409,27.5643661,-6.7040903,1756,HD 11226,2.700000047683716,3.0,1,,Simbad,27.56437,-6.70409,HD11226,0.8068092985532621
0.00586,28.2758281,-1.3269442,HD 11505,5752,10,4.380000114440918,0.019999999552965164,-0.2199999988079071,0.009999999776482582,0.8930000066757202,1.2690000534057617,0.03500000014901161,4.550000190734863,no,HD 11505,28.27583,-1.32694,28.2758269,-1.3269431,1799,HD 11505,2.299999952316284,3.5,2,:,Simbad,28.27583,-1.32694,HD11505,0.7163273838570416
0.001977,30.1338564,-40.7312472,HD 12387,5700,18,4.389999866485596,0.05000000074505806,-0.23999999463558197,0.009999999776482582,0.8650000095367432,1.1720000505447388,0.026000000536441803,4.650000095367432,no,HD 12387,30.13386,-40.73125,30.1338567,-40.7312467,1881,HD 12387,1.7999999523162842,3.0,1,,Simbad,30.13386,-40.73125,HD12387,0.6117789835462404
0.00846,30.1967117,-80.5327128,HD 13060,5255,45,4.340000152587891,0.09000000357627869,0.019999999552965164,0.029999999329447746,0.8629999756813049,0.4259999990463257,0.029999999329447746,5.860000133514404,no,HD 13060,30.19671,-80.53271,30.1967192,-80.5327108,1884,HD 13060,3.5999999046325684,3.0,1,,Simbad,30.19672,-80.53271,HD13060,0.537914718953199
0.00538,33.0861614,-46.8163858,HD 13724,5868,27,4.519999980926514,0.029999999329447746,0.23000000417232513,0.019999999552965164,1.1030000448226929,1.0850000381469727,0.03200000151991844,4.699999809265137,no,HD 13724,33.08616,-46.81639,33.0861594,-46.8163864,2056,HD 13724,3.5999999046325684,3.0,1,,Simbad,33.08616,-46.81639,HD13724,0.6773086191544571
0.004399,33.1788569,-53.7438908,HD 13808,5087,41,4.400000095367432,0.07999999821186066,-0.20000000298023224,0.029999999329447746,0.6990000009536743,0.36800000071525574,0.019999999552965164,6.079999923706055,no,HD 13808,33.17886,-53.74389,33.1788578,-53.7438919,2066,HD 13808,1.7999999523162842,3.0,1,,Simbad,33.17886,-53.74389,HD13808,0.5862260229629876
0.011609,34.8168192,-0.7798389,HD 14374,5425,24,4.480000019073486,0.03999999910593033,-0.03999999910593033,0.019999999552965164,0.8600000143051147,0.5590000152587891,0.03799999877810478,5.510000228881836,no,HD 14374,34.81682,-0.77984,34.8168208,-0.7798361,2197,HD 14374,3.200000047683716,7.0,3,,Simbad,34.81682,-0.77984,HD14374,0.6503348300064018
0.013052,35.3499769,-30.9336431,HD 14680,5011,56,4.460000038146973,0.11999999731779099,-0.17000000178813934,0.029999999329447746,0.7350000143051147,0.28200000524520874,0.029999999329447746,6.380000114440918,no,HD 14680,35.34998,-30.93364,35.3499733,-30.933645,2235,HD 14680,3.5999999046325684,3.0,1,,Simbad,35.34997,-30.93364,HD14680,0.5423516107455078
0.004602,34.89057,-67.6984719,HD 14747,5516,16,4.429999828338623,0.019999999552965164,-0.38999998569488525,0.009999999776482582,0.7429999709129333,0.734000027179718,0.023000000044703484,5.190000057220459,no,HD 14747,34.89057,-67.69847,34.8905731,-67.6984714,2204,HD 14747,3.5999999046325684,3.0,1,,Simbad,34.89057,-67.69847,HD14747,0.6775218755455972
0.007263,36.8682419,-27.6352067,HD 15337,5179,44,4.389999866485596,0.09000000357627869,0.05999999865889549,0.029999999329447746,0.8700000047683716,0.3790000081062317,0.041999999433755875,6.010000228881836,no,HD 15337,36.86824,-27.63521,36.8682422,-27.6352047,2360,HD 15337,0.0,3.0,1,,Simbad,36.86824,-27.6352,HD15337,0.479416478032053
0.015226,38.8330344,-3.5606019,HD 16141,5806,17,4.190000057220459,0.019999999552965164,0.1599999964237213,0.009999999776482582,1.0570000410079956,1.9880000352859497,0.0430000014603138,4.050000190734863,yes,HD 16141,38.83303,-3.5606,38.8330339,-3.5606061,2479,HD 16141,2.700000047683716,3.0,1,,Simbad,38.83303,-3.56061,HD16141,0.6852851001305091
0.003333,39.0326369,-28.2186036,HD 16297,5422,22,4.46999979019165,0.03999999910593033,-0.009999999776482582,0.019999999552965164,0.843999981880188,0.6190000176429749,0.03700000047683716,5.409999847412109,no,HD 16297,39.03264,-28.2186,39.0326361,-28.2186042,2493,HD 16297,1.7999999523162842,3.0,1,,Simbad,39.03264,-28.2186,HD16297,0.5775651816134548
0.00396,39.2441994,-34.5779769,HD 16417,5841,17,4.159999847412109,0.019999999552965164,0.12999999523162842,0.009999999776482582,1.2109999656677246,2.630000114440918,0.014000000432133675,3.740000009536743,no,HD 16417,39.2442,-34.57798,39.2441994,-34.5779758,2507,HD 16417,1.7999999523162842,6.0,2,,Simbad,39.2442,-34.57798,HD16417,0.7296367486586401
0.004347,39.9484225,-33.9000497,HD 16714,5518,18,4.420000076293945,0.029999999329447746,-0.20000000298023224,0.009999999776482582,0.8190000057220459,0.6740000247955322,0.03099999949336052,5.289999961853027,no,HD 16714,39.94842,-33.90005,39.9484219,-33.9000486,2558,HD 16714 A,0.8999999761581421,3.0,1,,Simbad,39.94842,-33.90005,HD16714,0.6437821404209672
0.009098,40.6394439,-50.8002939,HD 17051,6227,26,4.53000020980835,0.05999999865889549,0.1899999976158142,0.019999999552965164,1.2649999856948853,1.621999979019165,0.00800000037997961,4.21999979019165,yes,HD 17051,40.63944,-50.80029,40.6394403,-50.800295,2648,HD 17051,5.400000095367432,10.0,4,,Simbad,40.63944,-50.80029,HD17051,1.115643393811932
0.003382,43.0820364,-33.4506358,HD 17970,5040,48,4.389999866485596,0.07999999821186066,-0.44999998807907104,0.03999999910593033,0.47999998927116394,0.39800000190734863,0.019999999552965164,6.010000228881836,no,HD 17970,43.08204,-33.45064,43.0820353,-33.4506356,2806,HD 17970,2.700000047683716,3.0,1,,Simbad,43.08204,-33.45064,HD17970,0.5855999624032577
0.005859,45.9123292,-5.6662997,HD 19034,5477,15,4.400000095367432,0.029999999329447746,-0.47999998927116394,0.009999999776482582,0.7039999961853027,0.6470000147819519,0.03700000047683716,5.340000152587891,no,HD 19034,45.91233,-5.6663,45.9123289,-5.6662981,2955,HD 19034,1.5,3.5,2,:,Simbad,45.91233,-5.6663,HD19034,0.6981924312157528
0.001049,46.8273964,-13.7617833,HD 19467,5720,10,4.309999942779541,0.009999999776482582,-0.14000000059604645,0.009999999776482582,0.906000018119812,1.3630000352859497,0.02500000037252903,4.480000019073486,no,HD 19467,46.8274,-13.76178,46.8273967,-13.7617833,3007,HD 19467,0.8999999761581421,3.0,1,,Simbad,46.8274,-13.76178,HD19467,0.7193918148405504
0.010136,48.1934856,-1.1961011,HD 19994,6289,46,4.480000019073486,0.05000000074505806,0.23999999463558197,0.029999999329447746,1.36899995803833,3.681999921798706,0.014999999664723873,3.319999933242798,yes,HD 19994,48.19349,-1.1961,48.1934883,-1.1961003,3114,HD 19994 A,8.399999618530273,7.0,3,,Simbad,48.19349,-1.1961,HD19994,1.3816228918510296
0.010136,48.1934856,-1.1961011,HD 19994,6289,46,4.480000019073486,0.05000000074505806,0.23999999463558197,0.029999999329447746,1.36899995803833,3.681999921798706,0.014999999664723873,3.319999933242798,yes,HD 19994,48.19349,-1.1961,48.1934883,-1.1961003,3113,HD 19994,7.199999809265137,3.0,1,,Simbad,48.19349,-1.1961,HD19994,1.3816228918510296
0.004648,46.9079989,-72.3218894,HD 20003,5494,27,4.409999847412109,0.05000000074505806,0.03999999910593033,0.019999999552965164,0.875,0.722000002861023,0.02800000086426735,5.21999979019165,no,HD 20003,46.908,-72.32189,46.9079947,-72.3218892,3012,HD 20003,1.7999999523162842,3.0,1,,Simbad,46.90799,-72.32189,HD20003,0.4580937449207548
0.003814,48.7766239,-45.6648231,HD 20407,5866,14,4.5,0.009999999776482582,-0.4399999976158142,0.009999999776482582,0.8610000014305115,0.9760000109672546,0.012000000104308128,4.820000171661377,no,HD 20407,48.77662,-45.66482,48.7766247,-45.6648222,3150,HD 20407,2.700000047683716,3.0,1,,Simbad,48.77662,-45.66482,HD20407,0.8199956096075132
0.017292,49.7578883,-2.8431947,HD 20619,5703,13,4.510000228881836,0.019999999552965164,-0.2199999988079071,0.009999999776482582,0.8920000195503235,0.7799999713897705,0.020999999716877937,5.090000152587891,no,HD 20619,49.75789,-2.84319,49.7578931,-2.8431944,3234,HD 20619,2.700000047683716,3.0,1,,Simbad,49.75789,-2.84319,HD20619,0.7509235273299559
0.0018,50.0122619,-28.7838336,HD 20781,5256,29,4.369999885559082,0.05000000074505806,-0.10999999940395355,0.019999999552965164,0.7599999904632568,0.4909999966621399,0.03799999877810478,5.699999809265137,no,HD 20781,50.01226,-28.78383,50.0122619,-28.7838331,3256,HD 20781 B,1.7999999523162842,3.0,1,,Simbad,50.01226,-28.78383,HD20781,0.5787709037483347
0.010024,50.0149067,-28.8540711,HD 20782,5774,14,4.369999885559082,0.009999999776482582,-0.05999999865889549,0.009999999776482582,0.9470000267028809,1.2339999675750732,0.02800000086426735,4.579999923706055,yes,HD 20782,50.01491,-28.85407,50.0149081,-28.8540736,3261,HD 20782 A,2.700000047683716,3.0,1,,Simbad,50.01491,-28.85407,HD20782,0.6531924875447799
0.005997,49.9818769,-43.0697836,HD 20794,5401,17,4.400000095367432,0.029999999329447746,-0.4000000059604645,0.009999999776482582,0.7009999752044678,0.656000018119812,0.003000000026077032,5.349999904632568,no,HD 20794,49.98188,-43.06978,49.9818789,-43.0697828,3254,HD 20794,0.8999999761581421,3.0,1,,Simbad,49.98188,-43.06978,HD20794,0.6795580410511123
0.003055,49.5534119,-62.5063631,HD 20807,5866,11,4.519999980926514,0.029999999329447746,-0.23000000417232513,0.009999999776482582,0.9480000138282776,0.9639999866485596,0.006000000052154064,4.829999923706055,no,HD 20807,49.55341,-62.50636,49.5534106,-62.5063625,3217,HD 20807,2.700000047683716,6.0,2,,Simbad,49.55341,-62.50636,HD20807,0.8198505750147242
0.003041,50.8237533,-7.7940981,HD 21019,5468,13,3.930000066757202,0.019999999552965164,-0.44999998807907104,0.009999999776482582,0.8190000057220459,4.008999824523926,0.027000000700354576,3.359999895095825,no,HD 21019,50.82375,-7.7941,50.8237539,-7.7940975,3324,HD 21019,2.700000047683716,3.0,1,,Simbad,50.82375,-7.7941,HD21019,0.7455062926326066
0.003428,51.5463217,-30.61781,HD 21411,5473,18,4.510000228881836,0.029999999329447746,-0.25999999046325684,0.009999999776482582,0.7910000085830688,0.6150000095367432,0.027000000700354576,5.400000095367432,no,HD 21411,51.54632,-30.61781,51.5463211,-30.6178108,3398,HD 21411,1.7999999523162842,3.0,1,,Simbad,51.54632,-30.61781,HD21411,0.6668226975618174
0.007289,51.8020094,-58.3236828,HD 21693,5430,26,4.369999885559082,0.03999999910593033,0.0,0.019999999552965164,0.8529999852180481,0.6179999709129333,0.019999999552965164,5.400000095367432,no,HD 21693,51.80201,-58.32368,51.80201,-58.3236808,3420,HD 21693,1.7999999523162842,3.0,1,,Simbad,51.80201,-58.32368,HD21693,0.5998723937489499
0.010575,52.7097667,-37.3722903,HD 21938,5778,18,4.380000114440918,0.019999999552965164,-0.4699999988079071,0.009999999776482582,0.8130000233650208,1.0920000076293945,0.02500000037252903,4.710000038146973,no,HD 21938,52.70977,-37.37229,52.7097636,-37.3722919,3520,HD 21938,3.5999999046325684,3.0,1,,Simbad,52.70976,-37.37229,HD21938,0.7754093087883709
0.016777,53.2326842,-9.4582622,HD 22049,5153,42,4.53000020980835,0.07000000029802322,-0.10999999940395355,0.029999999329447746,0.8550000190734863,0.3269999921321869,0.0020000000949949026,6.179999828338623,yes,HD 22049,53.23268,-9.45826,53.2326872,-9.4582586,3591,HD 22049,1.899999976158142,21.0,8,,Simbad,53.23269,-9.45826,HD22049,0.6123114804281661
0.014049,53.6887069,-62.4568342,HD 22610,5043,43,4.440000057220459,0.09000000357627869,-0.2199999988079071,0.029999999329447746,0.7910000085830688,0.28299999237060547,0.032999999821186066,6.380000114440918,no,HD 22610,53.68871,-62.45683,53.6887072,-62.4568381,3641,HD 22610,2.700000047683716,3.0,1,,Simbad,53.68871,-62.45684,HD22610,0.5127022924858511
