Name	RA	DEC	PMRA	PMDEC	Gmag
	deg	deg	mas/yr	mas/yr
----	--	---	-----	------	-----
Positions are in epoch 2015.5!
-------------------------------------------------------------
THIS IS THE CONTROL SAMPLE
-----------------------------------------------------------
HD45758	97.42391967	10.66540572	-8.789	6.99	7.582
HD75299	132.3908828	12.17083961	-38.779	22.15	7.5858
HD34937	80.41277537	15.84687447	-32.529	-45.883	7.5887
HD43855	94.76257061	14.09457961	14.276	0.628	7.5891
HD55509	108.4621793	15.85186871	-34.86	-37.282	7.5894
HD84059	145.9371047	44.70126743	22.359	-7.514	7.5952
HD111238	191.9530934	19.0243052	-86.368	-0.137	7.6111
HD71089	127.0779895	56.60103015	106.541	-104.799	7.613
HD99719	172.2581877	63.57360759	105.38	29.959	7.6132
HD153559	254.7433538	31.4699626	12.621	2.717	7.6306
HD35396	81.13558261	3.517708312	19.018	-10.464	7.65
HD27023	64.67334953	49.53310999	29.098	-89.055	7.6538
HD149304	247.9835281	44.26423058	-21.98	7.224	7.6591
HD66177A	120.6089209	4.151630559	66.308	-103.565	7.6633
HD133598	226.1935328	22.41490539	-35.021	-70.069	7.6643
HIP74674	228.9102139	33.32044809	82.776	-110.04	7.6647
HD29140B	68.89681719	10.17023419	60.311	-54.859	7.6805
HD111816	192.9670049	0.084813169	65.73	-39.233	7.6966
HD100255	173.1065294	29.04497593	-0.971	-89.889	7.6982
HD77772	136.4615546	38.4387525	-146.509	-40.238	7.7045
HD46335	99.00922405	55.69225489	-22.187	-100.681	7.7061
HD103420	178.6390187	14.15120372	-82.245	-33.906	7.7155
HD131301	222.9092848	39.10312091	12.536	-28.72	7.7188
HD118020	203.3598829	39.93373015	-61.396	14.235	7.7238
HD26501	62.91714345	5.323009488	24.394	-12.169	7.7249
BD+172463	184.9549348	16.80792151	15.301	-140.128	7.73
HD56322	117.4680054	86.36468354	-68.571	-138.824	7.7375
HD131207	221.937865	71.60119865	45.807	-8.58	7.7432
