HDname	HIPname	starname	RA	DEC	Gmag	BP-RP
HD19071	N/A	N/A	46.39279416	42.19702149	7.8317	1.1346
HD115706	HIP64890	N/A	199.5190263	50.44629141	7.8319	0.6031
HD201490	HIP104421	N/A	317.2950181	30.37649914	7.844	0.7062
HD171304	N/A	N/A	278.4908841	5.67226732	7.8441	0.7907
HD16183	N/A	N/A	39.59670362	61.08909712	7.8469	0.6319
HD193622	HIP100309	N/A	305.1639484	16.01561475	7.852	0.5667
HD62161	HIP37584	N/A	115.6914473	4.070737398	7.8532	0.6083
HD174123	HIP91812	N/A	280.7922223	69.34969758	7.8536	0.7097
HD14290	HIP10781	N/A	34.69229874	7.70552397	7.8575	0.5616
HD186788	N/A	N/A	296.1986445	42.02604072	7.8599	1.0651
HD87143	HIP49256	N/A	150.8242728	8.227656169	7.864	0.6245
HD171490	N/A	N/A	278.7438972	4.244885967	7.8663	0.8944
HD107658	HIP60337	N/A	185.5708371	3.297750862	7.8665	0.6499
HD72053	HIP41776	N/A	127.7807826	9.198443716	7.8691	0.6225
HD71848	N/A	N/A	127.4816685	10.47104781	7.8747	0.7542
HD66170	HIP40055	N/A	122.7334875	77.64180305	7.8789	0.6287
HD148453	HIP80602	N/A	246.8566157	21.22440234	7.8798	0.6139
HD189806	N/A	N/A	300.1905163	32.95039297	7.881	1.0006
HD17530	HIP13191	N/A	42.43373398	35.17854402	7.8823	0.5809
HD87326	HIP49517	N/A	151.6521444	65.32970546	7.8826	0.5679
HD78870	HIP45056	N/A	137.6505635	1.086630174	7.8833	0.5854
HD94832	HIP53581	N/A	164.4163723	47.75801581	7.8836	0.6409
HD87441	HIP49649	N/A	152.0266534	69.93374978	7.8861	0.5547
HD28395	HIP20902	N/A	67.20962033	2.371403553	7.8868	0.6121
HD125799	HIP70127	N/A	215.2382376	33.29013293	7.8872	0.5849
HD10668B	N/A	**STF155B	26.06309995	9.484907832	7.8873	0.6219
HD151651	HIP82113	N/A	251.5994008	47.54337748	7.8875	0.623
HD32909	HIP23795	N/A	76.69060194	6.421623012	7.8876	0.6473
HD66139	HIP39393	N/A	120.7986719	27.93198932	7.8876	0.6243
HD145709	N/A	N/A	239.3404067	82.54767482	7.8888	0.8107
HD82473	N/A	N/A	143.3111826	36.64575855	7.8898	0.8386
HD154987	HIP83815	N/A	256.9441632	27.13798074	7.8904	0.5338
HD91231	HIP51594	N/A	158.0904261	23.31925786	7.8909	0.6606
HD36860	HIP26231	N/A	83.83541513	13.28414101	7.8943	0.6219
HD146990	HIP79697	N/A	243.9773621	58.47909938	7.8946	0.6327
HD13152	N/A	N/A	32.32359331	25.9442872	7.8948	0.5933
HD113744	HIP63902	N/A	196.4382954	4.090141316	7.8967	0.611
HD149973	HIP81370	N/A	249.2717422	26.75436069	7.9007	0.6578
HD166821	HIP88999	N/A	272.4741186	48.40186229	7.9029	0.6533
HD8610A	N/A	**STT30A	21.39361763	31.55020409	7.9041	0.7599
HD111347	HIP62492	N/A	192.0913797	30.76727642	7.9044	0.6294
HD223953	HIP117835	N/A	358.4704947	30.76996574	7.9088	0.5617
HD188994	HIP98151	N/A	299.2016883	29.52982804	7.9094	0.6041
HD82864	HIP47064	N/A	143.8692511	31.08165995	7.9099	0.6065
HD159519	HIP85949	N/A	263.4943515	28.90950539	7.9108	0.626
HD29581	HIP21783	N/A	70.19516519	30.29128675	7.9132	0.6191
HD198701	N/A	N/A	312.5255394	52.58702031	7.9143	0.6174
HD207393	HIP107624	N/A	326.9939436	28.81587908	7.9148	0.6539
HD7947	N/A	N/A	19.76447566	5.037931429	7.9171	0.7073
HD105881	HIP59405	N/A	182.7904844	39.13028409	7.9194	0.5646
HD183076	HIP94945	N/A	289.8157185	76.48088633	7.9197	0.6943
HD39117	N/A	N/A	87.78229788	17.83531704	7.9226	0.6628
HD136160B	HIP74931	**STF1931B	229.6751916	10.42408949	7.9247	0.7796
HD126734	HIP70609	N/A	216.6453777	27.64516895	7.9249	0.6836
HD186657	HIP97206	N/A	296.3445879	7.913387199	7.9263	0.639
HD33077A	N/A	**BU751A	77.43995477	42.67095383	7.9269	0.9365
HD216190	N/A	N/A	342.4570419	54.03397331	7.9282	0.7767
N/A	HIP2666	N/A	8.45241496	32.86615803	7.9289	0.6637
HD165073	HIP88387	N/A	270.7331231	30.35103862	7.9295	0.648
HD207610	HIP107712	N/A	327.2990868	41.22420246	7.9297	0.6627
HD131157	N/A	N/A	222.8920929	14.76369715	7.933	0.8239
HD172323	HIP91115	N/A	278.7888307	63.69531748	7.9342	0.7588
HD18157	N/A	N/A	43.97503119	31.57873751	7.9436	0.5883
HD147369	HIP80134	N/A	245.3468579	6.665420919	7.9437	0.703
HD91782	HIP51955	**MET56	159.198885	47.71977414	7.944	0.709
HD113984B	N/A	**STF1719B	196.8316418	0.586439942	7.9454	0.7487
HD37449	N/A	N/A	86.11579871	68.87279091	7.9462	0.5938
HD114838	HIP64461	N/A	198.1925211	34.52793652	7.9491	0.713
HD10043	N/A	N/A	24.86088359	54.13553372	7.9502	0.5639
HD19920	N/A	N/A	48.94434695	64.91136014	7.9525	0.6736
HD3068	HIP2717	**MRI31A	8.649071463	62.59047054	7.9526	0.6784
HD152425	HIP82470	N/A	252.8083153	44.16101438	7.9543	0.6518
HD123613A	N/A	**STF1804A	212.0647569	21.19278431	7.9585	0.6424
HD37282	HIP26710	N/A	85.14623113	55.09867272	7.9608	0.5988
HD169154	N/A	N/A	275.6860772	15.78795586	7.961	0.8719
HD193909	N/A	N/A	305.3991715	35.00020547	7.961	0.7653
HD975	HIP1137	N/A	3.554532144	35.41809779	7.9617	0.6134
HD194685A	N/A	N/A	306.3803094	40.09831268	7.9633	0.7136
HD175941	N/A	N/A	284.4363911	3.775124526	7.9642	0.564
HD31208	N/A	N/A	73.57043192	7.372165618	7.9646	1.0365
HD184110	N/A	N/A	293.1567004	7.911301196	7.9655	0.572
HD15382	HIP11706	N/A	37.76340566	60.71130763	7.9656	0.5645
HD150141	N/A	N/A	248.2972412	70.57874628	7.9661	0.6817
HD222462	HIP116837	N/A	355.213315	8.333843776	7.9746	0.5686
HD145872	HIP79292	N/A	242.7377902	49.06398975	7.9754	0.6177
HD219612	HIP114911	N/A	349.1342194	55.19089491	7.9755	0.531
HD112986	HIP63232	N/A	194.3478426	79.91295671	7.9773	0.6098
HD22952	HIP17235	N/A	55.36802167	12.60757054	7.9776	0.6724
HD159497	HIP85825	**ES777A	263.0611102	52.59229162	7.9777	0.5852
HD6583	HIP5271	N/A	16.84789188	48.05394718	7.9802	0.5777
HD35421	HIP25566	N/A	81.97127378	56.27849351	7.9822	0.6377
HD18493	N/A	N/A	44.89372041	35.32574681	7.9845	0.9252
HD213355	HIP111108	N/A	337.6289805	16.01645635	7.9846	0.6486
HD91193	HIP51555	N/A	157.9615133	4.935722452	7.9853	0.5814
HD14369	HIP17195	N/A	55.21089471	89.10475435	7.9879	0.5599
HD155579	HIP84068	N/A	257.8004433	30.95650864	7.9882	0.597
HD217142	N/A	**GAT30A	344.0187801	75.9393797	7.9885	1.1248
HD194177	N/A	N/A	305.7026903	37.43533188	7.9898	0.7515
N/A	HIP118251	**HJL1113C	359.7790477	41.17057282	7.9923	0.8192
HD75949A	N/A	**STF1289A	133.6843725	43.58401194	7.9931	0.7413
HD112099	HIP62942	N/A	193.4756652	6.763300816	7.9934	1.0522
HD5892	HIP4708	N/A	15.12676817	7.353974653	7.9968	0.6197
