#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E(BP-RP),Rad,Lum,RAJ2000,DEJ2000
Gaia DR2 1231250992143084800,210.736683,0.0793,14.975358,0.0782,1.23125099214308E+18,37.6057,0.1016,370.0987,-57.174,0.16,2.195,0.154,130,1003.75,9,0,32259000,8361.9,6.9167,3E-04,16216000,27045.0,7.3265,0.0018,22296000,86954.0,6.3914,0.0042,0.9351,16.6,8.23,5435.67,0.2387,0.1217,1.09,0.928,210.736938,14.975349
Gaia DR2 1192813951126183808,238.002049,0.0294,15.235371,0.0223,1.19281395112618E+18,31.5951,0.0409,772.3148,-56.821,0.052,-128.422,0.039,377,771.62,14,0,25774000,3843.3,7.1604,2E-04,13944000,10243.0,7.4904,8E-04,16565000,14815.0,6.714,0.001,0.7765,-23.18,0.14,5900.0,0.068,0.041,0.96,1.013,238.002302,15.235923
Gaia DR2 3887696579776144512,155.681323,0.0369,15.344018,0.0326,3.88769657977614E+18,34.4535,0.0409,841.6251,-267.305,0.072,-90.061,0.061,142,268.21,9,0,25485000,8539.2,7.1726,4E-04,13638000,89173.0,7.5145,0.0071,16908000,103620.0,6.6917,0.0067,0.8228,19.77,0.19,5602.37,0.0747,0.0295,0.98,0.859,155.682516,15.344405
Gaia DR2 2817129458162461056,348.451074,0.0358,15.367325,0.0288,2.81712945816246E+18,21.6892,0.0465,466.1691,23.481,0.071,-71.431,0.059,168,283.52,9,0,24107000,5856.1,7.233,3E-04,13400000,24396.0,7.5336,0.002,14869000,38713.0,6.8312,0.0028,0.7024,-2.77,0.2,6160.75,0.1463,0.079,1.24,1.992,348.450969,15.367633
Gaia DR2 3934198156329809152,190.2775,0.0692,15.375072,0.1143,3.93419815632981E+18,70.8894,0.1099,644.7607,107.744,0.227,-370.658,0.343,95,150.98,8,1,18862000,6967.9,7.4994,4E-04,7620100,10029.0,8.1465,0.0014,15827000,26227.0,6.7634,0.0018,1.383,24.16,0.18,4582.77,,,0.68,0.184,190.277019,15.376668
Gaia DR2 3312751882209460864,66.524886,0.0694,15.524234,0.0347,3.31275188220946E+18,22.4121,0.0763,293.6423,131.019,0.236,-24.151,0.1,384,1453.5,9,1,21928000,5992.5,7.3359,3E-04,12170000,10978.0,7.6381,0.001,13750000,9146.0,6.9162,7E-04,0.7219,42.73,0.15,6099.0,0.052,0.0173,1.17,1.7,66.5243,15.524338
Gaia DR2 3345968334645285376,91.668119,0.0533,15.54166,0.0512,3.34596833464528E+18,63.3684,0.0551,1150.2839,-120.637,0.098,-103.519,0.083,103,134.39,10,0,46310000,40841.0,6.5242,0.001,22505000,134550.0,6.9707,0.0065,32594000,222240.0,5.9791,0.0074,0.9916,-9.97,0.18,5306.0,0.052,0.0273,0.82,0.477,91.668658,15.542105
Gaia DR2 1186966374628267648,225.636733,0.063,16.05542,0.0756,1.18696637462827E+18,26.0289,0.0862,302.0537,-228.903,0.106,78.944,0.138,140,503.96,9,0,33947000,9359.0,6.8613,3E-04,18407000,43065.0,7.1889,0.0025,21292000,77845.0,6.4414,0.004,0.7475,-36.37,0.32,5970.5,0.167,0.085,1.31,1.96,225.637759,16.05508
Gaia DR2 34959010860594176,43.82344,0.0557,16.30899,0.0532,3.49590108605942E+16,37.2249,0.0722,515.6927,204.316,0.152,-46.601,0.129,113,191.7,8,0,24618000,6948.2,7.2102,3E-04,12513000,22809.0,7.608,0.002,16730000,59381.0,6.7032,0.0039,0.9048,-1.2,0.17,5608.0,0.118,0.054,0.89,0.71,43.822523,16.30919
Gaia DR2 1809456806859123584,302.392943,0.0236,16.806522,0.0173,1.80945680685912E+18,40.2763,0.0363,1108.206,2.823,0.048,175.828,0.035,414,552.89,14,0,19575000,2682.1,7.4591,1E-04,9666500,9248.2,7.8882,0.001,13830000,18571.0,6.9098,0.0015,0.9784,-30.89,0.13,5363.5,0.025,0.012,0.81,0.495,302.39293,16.805765
Gaia DR2 4513971290539167616,285.860278,0.026,17.067088,0.0298,4.51397129053917E+18,22.5994,0.0373,606.1849,-119.612,0.052,-62.441,0.058,285,478.68,14,0,19713000,4360.4,7.4515,2E-04,10635000,14366.0,7.7846,0.0015,12692000,20378.0,7.0031,0.0017,0.7815,-51.89,0.13,5887.0,0.1475,0.0677,1.18,1.515,285.860816,17.067357
Gaia DR2 3400292798990117888,81.107227,0.1582,17.383504,0.1231,3.40029279899012E+18,68.5628,0.1742,393.5744,250.765,0.316,-7.332,0.209,149,3760.26,9,0,224920000,747840.0,4.8083,0.0036,120840000,345380.0,5.1459,0.0031,134200000,898540.0,4.4426,0.0073,0.7033,37.67,0.24,6171.0,0.157,0.077,1.19,1.859,81.106096,17.383536
Gaia DR2 3937211745904553600,198.079631,0.1465,17.517124,0.0481,3.93721174590455E+18,24.8556,0.2743,90.6147,-586.287,0.705,2.257,0.242,104,215.2,6,1,26274000,7067.5,7.1396,3E-04,14456000,22673.0,7.4513,0.0017,16645000,38130.0,6.7087,0.0025,0.7425,49.98,0.24,5945.5,0.0667,0.036,1.22,1.665,198.082278,17.517114
Gaia DR2 1787990525934491776,317.995415,0.0265,17.723875,0.0243,1.78799052593449E+18,29.788,0.0331,898.8683,-122.216,0.06,-899.263,0.06,230,384.69,11,0,24515000,4892.8,7.2148,2E-04,13576000,19848.0,7.5195,0.0016,15464000,23129.0,6.7886,0.0016,0.7309,-44.15,0.19,5959.25,0.026,0.013,0.98,1.081,317.995968,17.727747
Gaia DR2 3369744964358573824,97.264833,0.0422,17.744532,0.0404,3.36974496435857E+18,21.4453,0.0488,439.0709,-125.298,0.085,-163.354,0.079,141,327.48,11,0,19570000,6003.4,7.4594,3E-04,10543000,26191.0,7.794,0.0027,12523000,29248.0,7.0177,0.0025,0.7764,-14.28,0.22,5939.5,0.1605,0.0805,1.22,1.666,97.2654,17.745235
Gaia DR2 2797111130991722240,1.477436,0.0559,18.23437,0.0576,2.79711113099172E+18,26.7173,0.073,365.8462,-150.936,0.121,-147.985,0.089,172,320.03,9,0,22590000,5992.7,7.3036,3E-04,12344000,16312.0,7.6228,0.0014,14333000,25291.0,6.871,0.0019,0.7517,-45.7,0.16,5934.0,0.0408,0.02,1.05,1.24,1.47812,18.235007
Gaia DR2 4467355154275146112,247.217839,0.0185,18.415706,0.0187,4.46735515427515E+18,51.749,0.0302,1715.4058,-348.756,0.036,383.232,0.039,386,627.85,16,0,20716000,6502.7,7.3976,3E-04,10121000,16445.0,7.8384,0.0018,16141000,158590.0,6.7421,0.0107,1.0963,,,4986.2,0.1605,0.072,0.78,0.338,247.219422,18.414056
Gaia DR2 2821292758941963776,354.028093,0.0516,18.443571,0.035,2.82129275894196E+18,28.8394,0.0668,431.5467,670.799,0.144,221.819,0.077,245,1013.14,13,1,19646000,3732.4,7.4552,2E-04,10176000,10823.0,7.8324,0.0012,13212000,18108.0,6.9595,0.0015,0.8729,-22.42,0.48,5675.0,0.143,0.0715,1.0,0.939,354.025049,18.442616
Gaia DR2 2786115533677290240,20.577026,0.0355,18.682697,0.0307,2.78611553367729E+18,38.3758,0.0407,942.0475,557.988,0.077,-2.367,0.073,142,221.55,10,0,36054000,10761.0,6.796,3E-04,19191000,38794.0,7.1437,0.0022,23438000,66166.0,6.3371,0.0031,0.8066,5.58,0.16,5763.33,0.0302,0.013,0.99,0.968,20.57449,18.682708
Gaia DR2 4524317420039164544,278.583671,0.0286,18.689849,0.0413,4.52431742003917E+18,28.269,0.0469,602.4605,-20.245,0.073,-50.289,0.08,221,441.26,13,0,21637000,59640.0,7.3504,0.003,11321000,104310.0,7.7167,0.01,14466000,126000.0,6.8611,0.0095,0.8556,,,5718.0,0.1893,0.0793,1.06,1.073,278.583763,18.690065
Gaia DR2 3409827042271407232,72.176453,0.0752,18.707785,0.0593,3.40982704227141E+18,31.7511,0.0968,327.8487,192.528,0.14,-383.794,0.096,287,2169.49,13,0,36414000,6616.9,6.7852,2E-04,19422000,14362.0,7.1307,8E-04,23795000,26137.0,6.3207,0.0012,0.8099,51.71,1.14,5816.21,0.246,0.118,1.17,1.423,72.175577,18.709438
Gaia DR2 1209182041427374080,230.694095,0.027,18.919294,0.0255,1.20918204142737E+18,50.6409,0.0342,1479.1223,-229.891,0.054,77.476,0.064,211,443.12,12,0,31489000,7268.7,6.943,3E-04,15591000,23969.0,7.3692,0.0017,22064000,71955.0,6.4027,0.0035,0.9665,-7.28,0.13,5403.5,0.089,0.032,0.81,0.501,230.695141,18.918961
Gaia DR2 1237090738916392832,222.846623,0.034,19.10113,0.0406,1.23709073891639E+18,148.2131,0.0464,3195.8208,132.684,0.069,-181.616,0.104,131,220.14,9,0,51112000,25212.0,6.4171,5E-04,19079000,48159.0,7.15,0.0027,45241000,153060.0,5.6231,0.0037,1.5269,2.29,0.18,4342.53,0.2725,0.1283,0.63,0.126,222.846018,19.101912
Gaia DR2 48203487411427456,65.05455,0.086,19.233326,0.0348,4.82034874114275E+16,21.5992,0.1074,201.0543,114.521,0.199,-35.478,0.111,295,532.74,7,0,22420000,4713.6,7.3118,2E-04,12458000,7950.1,7.6127,7E-04,14060000,13697.0,6.8919,0.0011,0.7208,38.36,0.16,6064.0,0.201,0.1075,1.24,1.873,65.054028,19.233479
Gaia DR2 1212385193677161088,228.179694,0.0351,19.293659,0.033,1.21238519367716E+18,30.7734,0.0487,631.3467,-593.796,0.07,283.466,0.085,171,313.87,11,0,22009000,5229.0,7.3318,3E-04,11222000,17661.0,7.7262,0.0017,14988000,30547.0,6.8226,0.0022,0.9037,-38.79,0.14,5571.33,0.2255,0.1217,1.04,0.932,228.182402,19.292439
Gaia DR2 84625634714435968,41.864791,0.043,19.371141,0.0317,8.4625634714436E+16,30.1041,0.0436,689.8581,116.822,0.104,-158.351,0.082,115,259.27,8,0,25475000,11948.0,7.1731,5E-04,13693000,48153.0,7.5102,0.0038,16465000,47848.0,6.7205,0.0032,0.7896,4.21,0.42,5890.67,0.0385,0.013,1.01,1.103,41.864258,19.371823
Gaia DR2 87044422856456192,34.786244,0.0416,19.687168,0.0325,8.70444228564562E+16,30.7251,0.0451,680.6829,-19.73,0.084,-125.29,0.066,115,245.68,7,0,40175000,12498.0,6.6785,3E-04,22049000,71594.0,6.9929,0.0035,25060000,53780.0,6.2645,0.0023,0.7285,3.06,0.3,6108.0,0.0522,0.026,1.15,1.656,34.786335,19.687707
Gaia DR2 627699888238838272,149.258143,0.0881,19.762367,0.1244,6.27699888238838E+17,24.4536,0.0581,421.0679,-230.86,0.13,-6.793,0.201,106,201.44,7,0,19846000,7726.3,7.4442,4E-04,10826000,19621.0,7.7652,0.002,12564000,35656.0,7.0141,0.0031,0.7511,30.57,0.2,5988.67,0.0695,0.0283,1.06,1.297,149.259199,19.762396
Gaia DR2 2831490694929214464,346.634169,0.0267,19.910875,0.0278,2.83149069492921E+18,34.0207,0.0371,917.452,286.553,0.063,5.349,0.053,224,616.56,12,0,57118000,16717.0,6.2964,3E-04,31794000,40096.0,6.5955,0.0014,35241000,127560.0,5.8943,0.0039,0.7012,-0.94,0.18,6183.33,0.116,0.0607,1.21,1.917,346.632857,19.910852
Gaia DR2 3366754464528540416,106.020425,0.0573,20.597706,0.0474,3.36675446452854E+18,28.6547,0.0604,474.1414,-82.092,0.11,41.288,0.082,113,144.33,10,0,20332000,6063.4,7.4179,3E-04,10894000,17354.0,7.7584,0.0017,13176000,67857.0,6.9625,0.0056,0.796,20.71,0.17,5827.0,0.0177,0.0105,0.97,0.975,106.020803,20.597528
Gaia DR2 4564058546264232192,250.875499,0.0181,20.71598,0.0224,4.56405854626423E+18,21.3511,0.0336,636.3619,21.748,0.037,-30.963,0.048,309,720.0,14,1,28642000,5414.6,7.0459,2E-04,15824000,14036.0,7.3531,0.001,17919000,23009.0,6.6286,0.0014,0.7244,-27.56,0.13,6111.75,0.166,0.0742,1.39,2.445,250.875399,20.716113
Gaia DR2 3378123861436589952,101.229224,0.0934,20.860689,0.0844,3.37812386143659E+18,20.1481,0.0908,221.8406,90.512,0.196,8.322,0.168,142,1429.48,11,0,28403000,7476.1,7.0549,3E-04,15708000,25189.0,7.3611,0.0017,17684000,49302.0,6.643,0.003,0.7181,-19.08,2.6,6113.0,0.427,0.2315,1.47,2.723,101.228807,20.860653
Gaia DR2 2832641058969396864,345.770198,0.0328,20.918451,0.0278,2.8326410589694E+18,41.1236,0.045,912.8918,-117.509,0.104,-28.387,0.068,191,537.48,10,0,47682000,17218.0,6.4925,4E-04,25479000,50072.0,6.8359,0.0021,30766000,42601.0,6.0417,0.0015,0.7942,1.48,0.15,5926.67,0.0713,0.034,1.0,1.105,345.770739,20.918573
Gaia DR2 685042030968334592,134.731854,0.0539,21.166093,0.0418,6.85042030968335E+17,26.5505,0.0597,444.9532,-77.368,0.111,-45.445,0.096,231,439.71,11,0,19359000,3914.7,7.4712,2E-04,10233000,8623.5,7.8264,9E-04,12772000,10263.0,6.9962,9E-04,0.8301,30.75,0.17,5760.0,0.146,0.0717,1.05,1.086,134.732212,21.166289
Gaia DR2 2802397960855105920,9.838722,0.0537,21.248884,0.0303,2.80239796085511E+18,89.7891,0.0581,1546.1824,-462.056,0.107,-369.814,0.055,339,1741.26,13,0,105040000,76354.0,5.635,8E-04,50288000,54796.0,6.0977,0.0012,74930000,93276.0,5.0753,0.0014,1.0224,-33.0,0.16,5280.0,0.1763,0.0865,0.88,0.54,9.840856,21.250477
Gaia DR2 144786577364287104,69.058234,0.0649,21.536364,0.0349,1.44786577364287E+17,29.5376,0.0649,455.2219,17.772,0.155,-42.009,0.081,173,376.0,10,0,20471000,5491.0,7.4105,3E-04,10757000,15615.0,7.7721,0.0016,13535000,37548.0,6.9333,0.003,0.8388,-6.52,0.15,5776.67,0.045,0.027,0.96,0.927,69.058152,21.536544
Gaia DR2 2832735823127881088,345.960646,0.0569,21.597942,0.0485,2.83273582312788E+18,35.3755,0.0752,470.3228,-37.508,0.163,-74.756,0.108,225,1758.77,11,0,28406000,5580.8,7.0549,2E-04,15214000,18369.0,7.3958,0.0013,18475000,35580.0,6.5954,0.0021,0.8003,18.17,0.45,5833.33,0.042,0.018,0.93,0.894,345.96082,21.598264
Gaia DR2 144978858756826368,68.032938,0.0418,21.632342,0.0235,1.44978858756826E+17,25.5983,0.0401,638.3391,-1.361,0.099,-3.285,0.075,332,777.27,10,0,32083000,5903.3,6.9227,2E-04,17315000,13117.0,7.2554,8E-04,20677000,17467.0,6.4732,9E-04,0.7821,6.77,0.14,5879.25,0.3113,0.1663,1.34,1.923,68.032945,21.632356
Gaia DR2 2018474482692959232,293.35637,0.026,21.839441,0.0263,2.01847448269296E+18,47.852,0.0357,1341.8599,-21.432,0.051,-205.619,0.05,268,348.37,14,0,39667000,15621.0,6.6923,4E-04,20150000,31812.0,7.0907,0.0017,27072000,54377.0,6.1806,0.0022,0.9101,11.34,0.12,5531.5,0.165,0.071,0.91,0.697,293.356469,21.840326
Gaia DR2 3980413791141148672,171.763353,0.0635,21.851535,0.0627,3.98041379114115E+18,30.5551,0.1223,249.9007,-27.123,0.089,-164.208,0.131,124,252.8,7,0,20258000,8292.0,7.4219,4E-04,10797000,16448.0,7.7681,0.0017,13514000,47344.0,6.935,0.0038,0.8331,1.91,0.24,5751.67,0.097,0.0415,0.93,0.858,171.763479,21.852242
Gaia DR2 3954927249048246272,193.666975,0.0302,22.107795,0.0335,3.95492724904825E+18,28.3956,0.0388,732.1351,52.346,0.067,-32.09,0.058,211,422.46,12,0,34092000,11592.0,6.8567,4E-04,19105000,34046.0,7.1485,0.0019,21603000,62957.0,6.4256,0.0032,0.7229,-0.23,0.26,6163.95,0.0565,0.036,1.12,1.643,193.666732,22.107933
Gaia DR2 2800690281858225408,5.751813,0.0399,22.374049,0.0396,2.80069028185822E+18,24.5718,0.0562,437.5318,202.321,0.079,-221.094,0.064,268,513.86,11,0,20513000,3747.8,7.4083,2E-04,10929000,6849.7,7.7549,7E-04,13473000,12381.0,6.9382,0.001,0.8167,-30.6,0.15,5772.5,0.1403,0.0673,1.16,1.342,5.750871,22.375001
Gaia DR2 64085383120724864,58.024288,0.0406,22.67017,0.0196,6.40853831207249E+16,33.4459,0.0432,773.4961,206.848,0.088,-339.445,0.06,388,645.71,12,1,20937000,3439.3,7.3861,2E-04,10879000,7308.1,7.76,7E-04,14075000,12710.0,6.8908,0.001,0.8691,11.23,0.13,5644.5,0.051,0.0205,0.9,0.746,58.023323,22.671632
Gaia DR2 3380020312835165312,104.442397,0.0529,22.89194,0.059,3.38002031283516E+18,22.3734,0.0708,316.0482,-144.2,0.109,-141.991,0.09,125,295.71,10,0,19035000,6138.3,7.4895,4E-04,10540000,26411.0,7.7943,0.0027,11800000,43391.0,7.0822,0.004,0.7121,-29.36,0.24,6111.67,0.0287,0.0145,1.09,1.48,104.443071,22.892552
Gaia DR2 1265671031852406272,222.668708,0.0236,22.90735,0.0332,1.26567103185241E+18,26.942,0.042,641.8695,-433.76,0.078,-61.695,0.076,236,299.13,12,0,22072000,4604.5,7.3288,2E-04,11668000,14203.0,7.6839,0.0013,14483000,30768.0,6.8598,0.0023,0.8242,-26.75,0.14,5730.0,0.208,0.0908,1.11,1.204,222.670736,22.907615
Gaia DR2 146677879098433152,69.714211,0.0492,23.14974,0.0283,1.46677879098433E+17,22.8453,0.0542,421.8846,105.529,0.093,-54.442,0.059,212,407.97,11,0,21300000,8520.4,7.3674,4E-04,11660000,28366.0,7.6847,0.0026,13408000,30898.0,6.9435,0.0025,0.7412,39.08,0.19,6043.0,0.065,0.032,1.15,1.592,69.713717,23.149974
Gaia DR2 104717285566534016,29.490059,0.0416,23.603026,0.0319,1.04717285566534E+17,24.869,0.0446,557.4091,-91.839,0.08,-19.37,0.074,166,371.98,9,0,25477000,8138.0,7.173,3E-04,13979000,31752.0,7.4877,0.0025,15909000,61567.0,6.7578,0.0042,0.7299,-7.2,0.18,6108.0,0.0605,0.0317,1.13,1.603,29.490491,23.603109
Gaia DR2 666427539629086976,129.689446,0.0318,23.685265,0.0211,6.66427539629087E+17,28.3319,0.042,675.1716,-47.303,0.065,-148.778,0.046,334,681.38,13,1,37725000,7130.2,6.7468,2E-04,20890000,21452.0,7.0516,0.0011,23491000,29010.0,6.3347,0.0013,0.7169,6.17,0.17,6109.0,0.173,0.0967,1.21,1.829,129.689668,23.685906
Gaia DR2 290368930563348480,22.45249,0.0376,23.690231,0.0344,2.90368930563348E+17,21.1743,0.0435,486.6364,-49.427,0.071,-49.237,0.076,140,227.82,10,0,19425000,5779.7,7.4674,3E-04,10587000,18377.0,7.7895,0.0019,12529000,128840.0,7.0171,0.0112,0.7724,-51.04,0.22,5885.53,0.166,0.103,1.25,1.701,22.452722,23.690443
Gaia DR2 2804011562888218240,13.746087,0.0451,24.099497,0.0319,2.80401156288822E+18,33.4257,0.0504,663.3203,-184.959,0.09,-179.663,0.066,132,206.47,9,0,23757000,11456.0,7.2489,5E-04,12565000,38646.0,7.6034,0.0033,15617000,37047.0,6.7779,0.0026,0.8255,-8.54,0.18,5779.0,0.0548,0.0223,0.91,0.84,13.746959,24.100271
Gaia DR2 3956336822955595776,191.635708,0.0348,24.144111,0.0246,3.9563368229556E+18,22.8874,0.0429,533.6304,-114.045,0.065,-217.823,0.044,305,765.69,14,1,39877000,7668.5,6.6865,2E-04,22238000,19935.0,6.9837,0.001,24676000,27354.0,6.2812,0.0012,0.7024,6.61,0.14,6126.0,0.5335,0.262,1.53,2.962,191.636247,24.145048
Gaia DR2 4579178927092945152,272.244864,0.0204,24.15863,0.0328,4.57917892709295E+18,27.7727,0.039,711.5753,86.956,0.041,82.779,0.062,351,1272.79,15,0,23654000,6457.3,7.2536,3E-04,12665000,11603.0,7.5949,0.001,15651000,15471.0,6.7755,0.0011,0.8194,-7.51,0.16,5658.57,,,1.15,1.221,272.244453,24.158274
Gaia DR2 101309452355657216,33.853908,0.0415,24.270495,0.0457,1.01309452355657E+17,38.8933,0.0533,729.5782,462.403,0.101,-184.45,0.115,129,207.4,9,0,42438000,14923.0,6.619,4E-04,21878000,63743.0,7.0014,0.0032,28221000,83102.0,6.1355,0.0032,0.8659,-2.17,0.23,5644.25,0.2068,0.106,1.11,1.118,33.851724,24.271289
Gaia DR2 4570293086432167168,260.615544,0.0151,24.878666,0.0185,4.57029308643217E+18,33.4888,0.0243,1379.2157,74.139,0.032,-176.562,0.039,363,789.75,18,0,38325000,9184.5,6.7297,3E-04,21322000,27451.0,7.0293,0.0014,23829000,52515.0,6.3192,0.0024,0.7102,34.19,0.14,6085.33,0.0477,0.0257,1.04,1.331,260.615192,24.879426
Gaia DR2 868513821147507840,113.71066,0.0521,24.952953,0.0513,8.68513821147508E+17,25.5556,0.0726,351.9689,130.26,0.095,-352.669,0.08,136,188.24,10,0,24615000,9676.8,7.2104,4E-04,13084000,20557.0,7.5595,0.0017,16019000,72758.0,6.7504,0.0049,0.8092,-135.53,0.19,5828.5,0.1635,0.1087,1.19,1.484,113.710042,24.954472
Gaia DR2 2035687337226254720,287.068782,0.0804,25.374406,0.1297,2.03568733722625E+18,18.1047,0.1347,134.3742,21.422,0.19,-80.756,0.304,259,2527.58,17,0,22038000,5123.4,7.3304,3E-04,12341000,15243.0,7.623,0.0013,13665000,15203.0,6.9229,0.0012,0.7002,19.44,0.29,6142.67,0.376,0.1657,1.43,2.614,287.06868,25.374754
Gaia DR2 691401842449529344,134.707486,0.0941,25.404379,0.0603,6.91401842449529E+17,26.1401,0.1199,217.9575,-63.426,0.198,-136.143,0.139,448,998.17,9,1,22526000,4933.9,7.3067,2E-04,11977000,5553.8,7.6555,5E-04,15132000,13050.0,6.8122,9E-04,0.8433,-11.61,0.13,5733.0,0.163,0.077,1.16,1.306,134.707788,25.404965
Gaia DR2 3381634224106876672,102.751841,0.0481,25.759506,0.0498,3.38163422410688E+18,29.0291,0.043,674.7175,10.799,0.09,-198.4,0.088,126,158.29,10,0,34938000,9075.8,6.8301,3E-04,19070000,43870.0,7.1505,0.0025,22157000,53449.0,6.3982,0.0026,0.7524,6.69,0.17,5990.0,0.0683,0.0355,1.18,1.62,102.751789,25.76036
Gaia DR2 727103367251735040,154.236817,0.0588,25.859443,0.0436,7.27103367251735E+17,26.7798,0.0543,493.2557,162.93,0.111,-295.564,0.084,88,141.19,9,0,20426000,6823.8,7.4129,4E-04,10949000,34490.0,7.7529,0.0034,13178000,56388.0,6.9623,0.0046,0.7906,-13.99,0.16,5891.5,0.08,0.0438,1.01,1.118,154.236037,25.860715
Gaia DR2 150694566874541824,63.633942,0.049,26.255411,0.0257,1.50694566874542E+17,32.0614,0.0512,625.8258,-40.391,0.122,-116.976,0.079,299,777.92,12,0,29297000,7008.0,7.0213,3E-04,15612000,17661.0,7.3677,0.0012,19145000,23639.0,6.5568,0.0013,0.8109,-14.87,0.15,5838.5,0.09,0.053,1.04,1.122,63.634135,26.255914
Gaia DR2 1844639838900425472,314.416514,0.0272,26.405527,0.0378,1.84463983890043E+18,31.1771,0.0329,948.9227,250.447,0.054,85.588,0.064,319,817.47,12,1,36429000,9614.2,6.7847,3E-04,19888000,24871.0,7.1049,0.0014,23266000,38248.0,6.3451,0.0018,0.7598,-26.8,0.2,5993.25,0.112,0.048,1.12,1.464,314.41531,26.405158
Gaia DR2 4571079649562719488,261.893598,0.0173,26.796133,0.0219,4.57107964956272E+18,32.6414,0.0275,1186.9697,-101.586,0.038,273.478,0.042,315,481.79,19,0,19219000,3492.5,7.479,2E-04,9514700,9895.8,7.9054,0.0011,13454000,17281.0,6.9398,0.0014,0.9656,-24.35,0.16,5382.33,0.2013,0.0983,0.99,0.738,261.894088,26.794956
Gaia DR2 1451450048399313664,207.26466,0.0608,26.979451,0.0513,1.45145004839931E+18,73.9239,0.0653,1132.7324,-416.522,0.187,-112.016,0.117,198,240.65,10,1,25060000,10107.0,7.1909,4E-04,10630000,29186.0,7.7851,0.003,20633000,91610.0,6.4755,0.0048,1.3096,,,4707.5,,,0.7,0.216,207.266673,26.979933
Gaia DR2 875071278432954240,117.47937,0.0385,27.363134,0.0252,8.75071278432954E+17,44.607,0.0444,1003.8194,-10.027,0.085,-11.314,0.049,333,650.47,10,1,38728000,18868.0,6.7183,5E-04,20129000,39276.0,7.0919,0.0021,25816000,51267.0,6.2322,0.0022,0.8597,-16.31,0.2,5713.5,0.0365,0.0175,0.9,0.772,117.479418,27.363183
Gaia DR2 4586000675189058304,275.205405,0.021,27.530738,0.0339,4.58600067518906E+18,34.4385,0.0295,1165.8158,42.243,0.051,88.94,0.075,251,612.55,14,1,34405000,20133.0,6.8468,6E-04,18549000,61309.0,7.1806,0.0036,22911000,105850.0,6.3618,0.005,0.8188,-20.91,0.17,5825.67,0.129,0.0617,1.05,1.142,275.2052,27.530355
Gaia DR2 2028211207952435840,297.003624,0.0218,27.870485,0.0302,2.02821120795244E+18,39.0861,0.0327,1196.2264,-9.93,0.049,222.13,0.06,271,431.97,15,0,39002000,8629.9,6.7107,2E-04,20682000,21252.0,7.0624,0.0011,25388000,40320.0,6.2503,0.0017,0.8121,-32.92,0.16,5862.0,0.068,0.043,0.97,1.003,297.003672,27.869529
Gaia DR2 1316920711932740992,242.848371,0.0166,28.438191,0.0221,1.31692071193274E+18,22.5745,0.0271,833.6548,-103.622,0.039,-77.87,0.047,373,738.28,19,0,19843000,3419.8,7.4443,2E-04,10944000,10014.0,7.7535,0.001,12481000,15037.0,7.0213,0.0013,0.7322,-34.56,0.17,6109.33,0.026,0.0145,1.1,1.516,242.848879,28.438526
Gaia DR2 1896891139712235008,329.668333,0.0315,29.810963,0.0402,1.89689113971224E+18,34.0024,0.0418,812.807,-362.78,0.076,-386.385,0.085,135,394.76,9,0,35851000,9201.8,6.8021,3E-04,19917000,41013.0,7.1033,0.0022,22248000,37242.0,6.3937,0.0018,0.7096,8.75,0.18,6128.0,0.017,0.008,0.97,1.206,329.670133,29.812627
Gaia DR2 4590489981163831296,272.339447,0.0177,29.951976,0.0213,4.59048998116383E+18,40.9514,0.0243,1683.0316,71.716,0.038,61.184,0.043,271,545.71,17,0,41183000,20835.0,6.6516,5E-04,21962000,39006.0,6.9972,0.0019,26891000,86765.0,6.1879,0.0035,0.8093,-14.55,0.17,5800.0,0.0303,0.013,0.97,0.968,272.339091,29.951713
Gaia DR2 129321160344480512,42.768496,0.0401,30.286598,0.0286,1.29321160344481E+17,22.4803,0.0432,519.9451,128.315,0.075,-32.948,0.059,169,367.06,10,0,20649000,4212.0,7.4011,2E-04,11221000,10504.0,7.7263,0.001,13239000,22737.0,6.9573,0.0019,0.769,10.53,0.15,5909.0,0.0723,0.039,1.21,1.602,42.767857,30.28674
Gaia DR2 1852732141404704512,318.24006,0.0255,30.809984,0.0293,1.8527321414047E+18,36.7394,0.0357,1028.4583,-19.09,0.052,109.622,0.051,382,647.61,15,0,25918000,4412.4,7.1543,2E-04,13686000,11916.0,7.5107,9E-04,17072000,19995.0,6.6812,0.0013,0.8295,2.67,0.13,5766.0,0.0427,0.0177,0.87,0.759,318.240156,30.809512
Gaia DR2 1312210782076778624,249.108324,0.0187,30.939678,0.0286,1.31221078207678E+18,25.9268,0.0262,988.4891,-2.632,0.04,-465.495,0.052,265,554.62,17,0,31163000,6254.4,6.9543,2E-04,17220000,22281.0,7.2613,0.0014,19471000,32957.0,6.5384,0.0018,0.7228,-4.81,0.19,6081.0,0.2035,0.108,1.21,1.806,249.108337,30.941682
