#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E(BP-RP),Rad,Lum,RAJ2000,DEJ2000
Gaia DR2 3705830175356997632,192.36338,0.0363,5.171849,0.0262,3.705830175357E+18,18.7952,0.0475,395.9298,118.235,0.109,-68.747,0.052,360,676.07,13,0,20344000,3313.0,7.4173,2E-04,11265000,9300.7,7.722,9E-04,12736000,16647.0,6.9994,0.0014,0.7227,-6.19,0.18,6102.0,0.2182,0.114,1.34,2.242,192.362869,5.172145
Gaia DR2 3900151160300881536,185.632765,0.0419,5.305223,0.0254,3.90015116030088E+18,33.3249,0.0493,675.4143,-168.418,0.105,-52.006,0.053,201,419.95,10,0,55782000,13257.0,6.3221,3E-04,30961000,45090.0,6.6244,0.0016,34489000,78559.0,5.9177,0.0025,0.7066,5.05,0.17,6084.5,0.065,0.0377,1.26,1.956,185.633493,5.305447
Gaia DR2 3852570413083923072,142.476263,0.0468,5.655599,0.0402,3.85257041308392E+18,78.229,0.0473,1653.338,-502.932,0.09,108.15,0.074,105,162.58,8,0,33505000,15388.0,6.8756,5E-04,14600000,25919.0,7.4405,0.0019,25952000,126780.0,6.2265,0.0053,1.214,29.71,0.27,4749.17,0.163,0.079,0.75,0.255,142.478439,5.655133
Gaia DR2 594641009565720192,129.933278,0.0387,5.76298,0.0318,5.9464100956572E+17,28.0652,0.0474,591.5936,177.581,0.079,-292.825,0.059,305,593.6,13,0,27427000,4692.8,7.0929,2E-04,14912000,10166.0,7.4175,7E-04,17581000,20417.0,6.6493,0.0013,0.7682,-20.59,0.2,5925.75,0.087,0.0457,1.11,1.364,129.932509,5.764241
Gaia DR2 3909362834358280576,174.752719,0.0516,6.057387,0.0481,3.90936283435828E+18,28.8021,0.0634,454.084,-335.699,0.114,-119.946,0.121,124,236.64,9,0,20003000,5859.8,7.4356,3E-04,10529000,15916.0,7.7954,0.0016,13178000,21549.0,6.9623,0.0018,0.8331,24.0,0.2,5744.0,0.0615,0.025,0.99,0.954,174.754172,6.057903
Gaia DR2 2520146866373897472,32.635471,0.0407,6.098874,0.0331,2.5201468663739E+18,18.0533,0.0426,423.9319,110.573,0.084,8.961,0.073,124,229.79,10,0,23965000,6809.4,7.2394,3E-04,13317000,18893.0,7.5403,0.0015,14852000,31126.0,6.8325,0.0023,0.7079,22.53,0.23,6102.0,0.389,0.1855,1.51,2.863,32.634993,6.098835
Gaia DR2 3333089308269177600,84.40492,0.0438,6.111618,0.0406,3.33308930826918E+18,20.0625,0.052,385.908,92.789,0.078,-89.767,0.069,138,276.13,10,1,18888000,6061.0,7.4979,3E-04,10437000,17899.0,7.8049,0.0019,11846000,22292.0,7.078,0.002,0.7269,47.53,0.21,6090.0,0.204,0.1085,1.21,1.827,84.404519,6.112005
Gaia DR2 3285218186904332288,63.869527,0.0443,6.186399,0.037,3.28521818690433E+18,45.2758,0.0542,835.7451,-109.7,0.095,-107.368,0.079,146,473.64,10,0,64857000,30876.0,6.1585,5E-04,35357000,81055.0,6.4802,0.0025,40880000,62700.0,5.7331,0.0017,0.7471,-7.21,0.15,6052.0,0.0287,0.014,1.01,1.234,63.870002,6.186861
Gaia DR2 3285218255623808640,63.857006,0.0374,6.19917,0.0272,3.28521825562381E+18,45.2404,0.0449,1007.619,-101.763,0.08,-111.982,0.055,180,332.75,10,0,37175000,17232.0,6.7627,5E-04,19236000,32303.0,7.1411,0.0018,24860000,57028.0,6.2732,0.0025,0.8679,-7.93,0.16,5648.0,0.068,0.0335,0.89,0.724,63.857446,6.199653
Gaia DR2 594989417312890368,128.963019,0.0419,6.622175,0.0266,5.9498941731289E+17,38.6528,0.0523,739.7233,-136.543,0.088,-138.166,0.051,345,646.86,11,1,29639000,7357.3,7.0087,3E-04,15268000,19652.0,7.3919,0.0014,20013000,22366.0,6.5087,0.0012,0.8832,28.75,0.14,5567.5,0.0165,0.009,0.96,0.796,128.963611,6.62277
